Dato,Tid,Produkt,ISIN,Referansebørs,Venue,Antall,Pris,,Lokal verdi,,Verdi,,Vekslingskurs,Transaction and/or third,,Totalt,,Ordre-ID
30-08-2022,16:51,TESLA MOTORS INC. - C,US88160R1014,NDQ,ARCX,-159,281.0000,USD,44679.00,USD,439142.24,NOK,0.1017,-4.92,NOK,439137.32,NOK,6a9565f8-14fc-425e-8427-09a3d9c46c9e
25-08-2022,00:00,TESLA MOTORS INC. - C,US88160R1014,NDQ,,159,297.0967,USD,-47238.38,USD,-456228.04,NOK,0.1035,,,-456228.04,NOK,
25-08-2022,00:00,TESLA MOTORS INC. - C,US88160R1014,NDQ,,-53,891.2900,USD,47238.37,USD,456227.99,NOK,0.1035,,,456227.99,NOK,
10-08-2022,17:46,TESLA MOTORS INC. - C,US88160R1014,NDQ,BATS,53,873.2000,USD,-46279.60,USD,-440500.62,NOK,0.1051,-4.93,NOK,-440505.55,NOK,3657d115-c080-4b4c-a1f7-89cc4327da20
14-06-2022,16:07,TESLA MOTORS INC. - C,US88160R1014,NDQ,CDED,-70,651.6300,USD,45614.10,USD,454825.50,NOK,0.1003,-5.22,NOK,454820.28,NOK,0b2f7dbb-ec08-4409-9367-758080c769f4
27-05-2022,18:17,TESLA MOTORS INC. - C,US88160R1014,NDQ,ARCX,70,752.0000,USD,-52640.00,USD,-500087.37,NOK,0.1053,-5.10,NOK,-500092.47,NOK,252dfd8d-b465-491e-8921-59d1ea79a16f
09-05-2022,15:35,APPLE INC. - COMMON ST,US0378331005,NDQ,ARCX,-1,155.0000,USD,155.00,USD,1478.52,NOK,0.1048,-5.04,NOK,1473.48,NOK,b07df6ec-d57e-469f-b609-62125b0a551c
09-05-2022,15:34,TESLA MOTORS INC. - C,US88160R1014,NDQ,BATS,-6,825.0000,USD,4950.00,USD,47217.55,NOK,0.1048,-5.04,NOK,47212.51,NOK,801c6f0e-fdef-46a0-b820-f142a4419cb0
05-05-2022,16:05,TESLA MOTORS INC. - C,US88160R1014,NDQ,ARCX,6,910.0000,USD,-5460.00,USD,-51323.17,NOK,0.1064,-4.97,NOK,-51328.14,NOK,34d5c715-97d0-4de6-b0b6-0e5cae61962b
05-05-2022,15:46,APPLE INC. - COMMON ST,US0378331005,NDQ,BATS,1,162.0000,USD,-162.00,USD,-1517.46,NOK,0.1068,-4.95,NOK,-1522.41,NOK,79979257-12b9-4b4a-88da-df7f5c308558
05-05-2022,15:44,APPLE INC. - COMMON ST,US0378331005,NDQ,ARCX,-1,162.6000,USD,162.60,USD,1521.71,NOK,0.1069,-4.95,NOK,1516.76,NOK,7c6beec8-9bb6-4d27-9080-9d4cca7b1e92
05-05-2022,15:44,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,1,162.6000,USD,-162.60,USD,-1521.13,NOK,0.1069,-4.95,NOK,-1526.08,NOK,aae1261b-f92c-438b-bb40-813dfe7080c0
05-05-2022,15:36,APPLE INC. - COMMON ST,US0378331005,NDQ,ARCX,-189,163.6000,USD,30920.40,USD,289282.01,NOK,0.1069,,,289282.01,NOK,8cc91de5-6629-4ebf-91d8-21a2dd6b4032
05-05-2022,15:36,APPLE INC. - COMMON ST,US0378331005,NDQ,EDGX,-129,163.6000,USD,21104.40,USD,197446.45,NOK,0.1069,,,197446.45,NOK,8cc91de5-6629-4ebf-91d8-21a2dd6b4032
05-05-2022,15:36,APPLE INC. - COMMON ST,US0378331005,NDQ,ARCX,-11,163.6000,USD,1799.60,USD,16836.52,NOK,0.1069,-4.95,NOK,16831.57,NOK,8cc91de5-6629-4ebf-91d8-21a2dd6b4032
07-03-2022,21:58,APPLE INC. - COMMON ST,US0378331005,NDQ,XNAS,129,159.6500,USD,-20594.85,USD,-186162.67,NOK,0.1106,,,-186162.67,NOK,a47d0c20-d729-4fd5-815d-9afb7cee9e33
07-03-2022,21:58,APPLE INC. - COMMON ST,US0378331005,NDQ,XNAS,100,159.6500,USD,-15965.00,USD,-144312.14,NOK,0.1106,,,-144312.14,NOK,a47d0c20-d729-4fd5-815d-9afb7cee9e33
07-03-2022,21:58,APPLE INC. - COMMON ST,US0378331005,NDQ,XNAS,57,159.6500,USD,-9100.05,USD,-82257.92,NOK,0.1106,,,-82257.92,NOK,a47d0c20-d729-4fd5-815d-9afb7cee9e33
07-03-2022,21:58,APPLE INC. - COMMON ST,US0378331005,NDQ,XNAS,43,159.6500,USD,-6864.95,USD,-62054.22,NOK,0.1106,-4.93,NOK,-62059.15,NOK,a47d0c20-d729-4fd5-815d-9afb7cee9e33
28-02-2022,20:09,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,-76,162.9000,USD,12380.40,USD,109415.43,NOK,0.1132,,,109415.43,NOK,c0ca36e7-3dc2-4cf6-b733-e55a5f1a502b
28-02-2022,20:09,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,-100,162.9000,USD,16290.00,USD,143967.67,NOK,0.1132,,,143967.67,NOK,c0ca36e7-3dc2-4cf6-b733-e55a5f1a502b
28-02-2022,20:09,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,-1,162.9000,USD,162.90,USD,1439.68,NOK,0.1132,,,1439.68,NOK,c0ca36e7-3dc2-4cf6-b733-e55a5f1a502b
28-02-2022,20:09,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,-23,162.9000,USD,3746.70,USD,33112.56,NOK,0.1132,,,33112.56,NOK,c0ca36e7-3dc2-4cf6-b733-e55a5f1a502b
28-02-2022,20:09,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,-122,162.9000,USD,19873.80,USD,175640.56,NOK,0.1132,-4.97,NOK,175635.59,NOK,c0ca36e7-3dc2-4cf6-b733-e55a5f1a502b
14-02-2022,20:22,APPLE INC. - COMMON ST,US0378331005,NDQ,ARCX,222,167.1000,USD,-37096.20,USD,-330664.05,NOK,0.1122,,,-330664.05,NOK,9c5a1d37-e2f9-4384-8f97-679c490fc84e
14-02-2022,20:22,APPLE INC. - COMMON ST,US0378331005,NDQ,BATS,100,167.1000,USD,-16710.00,USD,-148947.77,NOK,0.1122,-5.04,NOK,-148952.81,NOK,9c5a1d37-e2f9-4384-8f97-679c490fc84e
14-02-2022,20:05,ALPHABET INC. - CLASS A,US02079K3059,NDQ,BATS,-20,2687.3600,USD,53747.20,USD,478682.58,NOK,0.1123,-5.04,NOK,478677.54,NOK,c0bca825-5573-4263-a4dd-fcde27aef62d
03-02-2022,16:51,ALPHABET INC. - CLASS A,US02079K3059,NDQ,BATS,20,2959.0000,USD,-59180.00,USD,-517735.63,NOK,0.1143,-5.01,NOK,-517740.64,NOK,2c83642e-3162-4a8f-9cf9-194580b1d70f
03-02-2022,16:51,APPLE INC. - COMMON ST,US0378331005,NDQ,BATS,-30,175.3000,USD,5259.00,USD,46015.44,NOK,0.1143,,,46015.44,NOK,957fb0e1-a682-4137-9809-ae24f19514cf
03-02-2022,16:51,APPLE INC. - COMMON ST,US0378331005,NDQ,ARCX,-238,175.3000,USD,41721.40,USD,365055.85,NOK,0.1143,,,365055.85,NOK,957fb0e1-a682-4137-9809-ae24f19514cf
03-02-2022,16:51,APPLE INC. - COMMON ST,US0378331005,NDQ,BATS,-70,175.3000,USD,12271.00,USD,107369.37,NOK,0.1143,-5.01,NOK,107364.36,NOK,957fb0e1-a682-4137-9809-ae24f19514cf
28-01-2022,16:12,APPLE INC. - COMMON ST,US0378331005,NDQ,MEMX,100,165.3000,USD,-16530.00,USD,-148411.17,NOK,0.1114,,,-148411.17,NOK,8dc24feb-e270-4047-ba54-f6bd1b225eb3
28-01-2022,16:12,APPLE INC. - COMMON ST,US0378331005,NDQ,MEMX,100,165.3000,USD,-16530.00,USD,-148411.17,NOK,0.1114,,,-148411.17,NOK,8dc24feb-e270-4047-ba54-f6bd1b225eb3
28-01-2022,16:12,APPLE INC. - COMMON ST,US0378331005,NDQ,EPRL,37,165.3000,USD,-6116.10,USD,-54912.13,NOK,0.1114,,,-54912.13,NOK,8dc24feb-e270-4047-ba54-f6bd1b225eb3
28-01-2022,16:12,APPLE INC. - COMMON ST,US0378331005,NDQ,BATS,100,165.3000,USD,-16530.00,USD,-148411.17,NOK,0.1114,,,-148411.17,NOK,8dc24feb-e270-4047-ba54-f6bd1b225eb3
28-01-2022,16:12,APPLE INC. - COMMON ST,US0378331005,NDQ,EPRL,1,165.3000,USD,-165.30,USD,-1484.11,NOK,0.1114,-5.02,NOK,-1489.13,NOK,8dc24feb-e270-4047-ba54-f6bd1b225eb3
28-01-2022,15:44,APPLE INC. - COMMON ST,US0378331005,NDQ,EDGX,-242,163.4000,USD,39542.80,USD,354906.73,NOK,0.1114,,,354906.73,NOK,89169155-8334-4e06-9e66-a88be72022b6
28-01-2022,15:44,APPLE INC. - COMMON ST,US0378331005,NDQ,EDGX,-100,163.4000,USD,16340.00,USD,146655.67,NOK,0.1114,-5.02,NOK,146650.65,NOK,89169155-8334-4e06-9e66-a88be72022b6
27-01-2022,17:28,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,342,162.3200,USD,-55513.44,USD,-496928.16,NOK,0.1117,-5.00,NOK,-496933.16,NOK,218b10c4-d625-4c15-94aa-359a5ff9b1b5
26-01-2022,20:56,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,-46,298.9000,USD,13749.40,USD,122760.06,NOK,0.1120,,,122760.06,NOK,971b4b16-c399-426c-b284-6b4096c01709
26-01-2022,20:56,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,-25,298.9100,USD,7472.75,USD,66719.65,NOK,0.1120,-5.04,NOK,66714.61,NOK,971b4b16-c399-426c-b284-6b4096c01709
