Dato,Tid,Produkt,ISIN,Referansebørs,Venue,Antall,Pris,,Lokal verdi,,Verdi,,Vekslingskurs,Transaction and/or third,,Totalt,,Ordre-ID
27-01-2022,17:29,APPLE INC. - COMMON ST,US0378331005,NDQ,ARCX,67,162.3000,USD,-10874.10,USD,-97348.16,NOK,0.1117,-5.00,NOK,-97353.16,NOK,7d95130e-c544-41c1-ac43-4cb4f532d49f
26-01-2022,20:58,MICROSOFT CORPORATION,US5949181045,NDQ,BATS,-14,299.2000,USD,4188.80,USD,37432.61,NOK,0.1119,-5.04,NOK,37427.57,NOK,6062cc14-149e-49aa-b239-fd73557c1a56
26-01-2022,20:56,APPLE INC. - COMMON ST,US0378331005,NDQ,SOHO,-41,160.0400,USD,6561.64,USD,58627.42,NOK,0.1119,-5.04,NOK,58622.38,NOK,c87edfb6-3a29-4a37-be19-5e4280537a65
07-01-2022,21:34,APPLE INC. - COMMON ST,US0378331005,NDQ,ARCX,3,172.9000,USD,-518.70,USD,-4582.37,NOK,0.1132,-5.03,NOK,-4587.40,NOK,75f3ea8e-4ca6-4267-a666-e8811548d7ad
07-01-2022,21:32,MICROSOFT CORPORATION,US5949181045,NDQ,SOHO,14,315.2240,USD,-4413.14,USD,-38989.76,NOK,0.1132,-5.03,NOK,-38994.79,NOK,8258288f-15c0-47f6-9c8f-e7e62f37f299
07-01-2022,21:31,APPLE INC. - COMMON ST,US0378331005,NDQ,SOHO,38,173.1198,USD,-6578.55,USD,-58115.95,NOK,0.1132,-5.03,NOK,-58120.98,NOK,7036cd22-8db2-4a41-9079-3e4aba000ed6
04-01-2022,17:01,MICROSOFT CORPORATION,US5949181045,NDQ,SOHO,-13,329.4500,USD,4282.85,USD,37830.26,NOK,0.1132,-5.01,NOK,37825.25,NOK,fb139631-2939-4de0-93f8-cac2a31931d5
04-01-2022,17:00,APPLE INC. - COMMON ST,US0378331005,NDQ,SOHO,-40,180.7365,USD,7229.46,USD,63854.37,NOK,0.1132,-5.01,NOK,63849.36,NOK,fb0d29ed-9d36-4391-9f73-70d1ccef533e
14-12-2021,15:49,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,1,177.1800,USD,-177.18,USD,-1608.59,NOK,0.1101,,,-1608.59,NOK,44504b84-cbd5-4fc0-8c5c-76c25f868880
14-12-2021,15:47,MICROSOFT CORPORATION,US5949181045,NDQ,MEMX,13,331.5000,USD,-4309.50,USD,-39123.81,NOK,0.1102,,,-39123.81,NOK,8539d437-0660-4af1-b88d-3d9e41f681c7
14-12-2021,15:44,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,39,176.7300,USD,-6892.47,USD,-62581.09,NOK,0.1101,,,-62581.09,NOK,b00ceb1f-2f33-4234-812b-0f8c2227f978
09-12-2021,20:14,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,-41,175.3300,USD,7188.53,USD,64629.93,NOK,0.1112,,,64629.93,NOK,5a2bd751-6ba4-43f6-8355-85d472c3484a
09-12-2021,20:13,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,-12,333.9100,USD,4006.92,USD,36021.83,NOK,0.1112,,,36021.83,NOK,079bf53e-7de4-44f0-bc7f-7054a8c50945
06-12-2021,15:32,MICROSOFT CORPORATION,US5949181045,NDQ,SOHO,12,322.3700,USD,-3868.44,USD,-35264.14,NOK,0.1097,,,-35264.14,NOK,29678ea1-3231-44b6-b33c-d107b734f03f
06-12-2021,15:30,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,41,165.3300,USD,-6778.53,USD,-61739.73,NOK,0.1098,,,-61739.73,NOK,3abda777-35e7-43bd-81ca-2c43f18f88b3
02-12-2021,16:44,MICROSOFT CORPORATION,US5949181045,NDQ,SOHO,-13,328.1800,USD,4266.34,USD,38806.25,NOK,0.1099,,,38806.25,NOK,f6250615-67c1-46b5-99e3-4976c2e632aa
02-12-2021,16:43,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,-42,159.2400,USD,6688.08,USD,60855.44,NOK,0.1099,,,60855.44,NOK,a960bf0b-cc36-4ccd-a292-dac25a826514
29-11-2021,18:02,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,1,160.3000,USD,-160.30,USD,-1451.89,NOK,0.1104,,,-1451.89,NOK,ea95e6f5-7dae-47cd-bdf3-00dea61ad7d7
29-11-2021,18:01,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,13,337.7700,USD,-4391.01,USD,-39782.34,NOK,0.1104,,,-39782.34,NOK,2cd4dd41-f6f4-4cd4-bf91-19450043bd8f
